type,words
reliable,"{'last': 1, 'year': 1, 'korea': 1, 'sold': 1, 'nearli': 1, 'half': 1, 'a': 1, 'million': 1, 'car': 1, 'in': 1, 'our': 1, 'countri': 1, 'the': 1, 'unit': 1, 'state': 1, 'you': 1, 'know': 1, 'how': 1, 'much': 1, 'we': 1, 'sell': 1, 'to': 1, 'them': 1, 'six': 1, 'thousand': 1, 'what': 1, 'kind': 1, 'of': 1, 'deal': 1, 'is': 1, 'that': 1}"
fake,"{'a': 1, 'marri': 1, 'coupl': 1, 'that': 1, 'use': 1, 'the': 1, 'same': 1, 'last': 1, 'name': 1, 'is': 1, 'rarer': 2, 'and': 1, 'in': 1, 'our': 1, 'countri': 1}"
fake,"{'claim': 1, 'that': 2, 'former': 1, 'sen': 1, 'tom': 1, 'daschl': 1, 'said': 1, 'senior': 1, 'should': 1, 'be': 1, 'more': 1, 'accept': 1, 'of': 2, 'the': 1, 'condit': 1, 'come': 1, 'with': 1, 'age': 1, 'instead': 1, 'treat': 1, 'them': 1}"
reliable,"{'the': 6, 'taxcut': 1, 'deal': 1, 'add': 1, 'more': 3, 'than': 3, '<cur><number>': 1, 'billion': 1, 'to': 1, 'deficit': 1, 'over': 1, 'two': 1, 'year': 1, 'cost': 2, 'of': 2, 'tarp': 1, 'and': 2, 'recoveri': 1, 'act': 1, 'about': 1, 'same': 1, 'as': 1, 'health': 1, 'care': 1, 'reform': 1}"
reliable,"{'wrote': 1, 'that': 1, 'in': 2, '<number>': 2, 'nanci': 1, 'pelosi': 1, 'said': 1, 'she': 1, 'didnt': 1, 'think': 1, 'captur': 1, 'osama': 1, 'bin': 1, 'laden': 1, 'make': 1, 'us': 1, 'ani': 1, 'safer': 1, 'but': 1, 'call': 1, 'hi': 1, 'kill': 1, 'histor': 1}"
fake,"{'thank': 1, 'to': 1, 'obamacar': 1, 'averag': 1, 'er': 1, 'wait': 1, 'in': 1, 'california': 1, 'is': 1, '<number>': 1, 'hour': 1}"
reliable,"{'obama': 1, 'vote': 1, 'for': 2, '<cur><number>million': 1, 'an': 1, 'overhead': 1, 'projector': 1, 'at': 1, 'a': 1, 'planetarium': 1, 'in': 1, 'chicago': 1}"
reliable,"{'it': 1, 'is': 2, 'rare': 1, 'that': 1, 'a': 1, 'retir': 2, 'grade': 1, 'determin': 1, 'conduct': 1, 'for': 1, 'an': 1, 'offic': 1, 'previous': 1, 'from': 1, 'the': 1, 'us': 1, 'arm': 1, 'forc': 1}"
fake,"{'say': 1, 'rep': 1, 'justin': 1, 'amash': 1, 'vote': 1, 'more': 1, 'with': 2, 'the': 2, 'democrat': 1, 'than': 1, 'republican': 1}"
fake,"{'say': 1, 'mitt': 1, 'romney': 1, 'run': 1, 'away': 1, 'from': 1, 'ronald': 1, 'reagan': 1}"
reliable,"{'we': 1, 'have': 1, 'the': 1, 'lowest': 1, 'percentag': 1, 'of': 1, 'american': 1, 'actual': 1, 'hold': 1, 'a': 1, 'job': 1, 'in': 1, '<number>': 1, 'year': 1}"
fake,"{'say': 1, 'john': 1, 'kitzhab': 1, 'propos': 1, 'budget': 1, 'for': 1, 'upcom': 1, 'biennium': 1, 'repres': 1, '<number>': 1, 'percent': 1, 'increas': 1, 'over': 1, 'last': 1}"
reliable,"{'undocu': 1, 'immigrantspay': 1, '<cur><number>': 1, 'billion': 1, 'a': 1, 'year': 1, 'into': 1, 'social': 1, 'secur': 1}"
reliable,"{'say': 1, 'miamidad': 1, 'mayor': 2, 'candid': 1, 'julio': 1, 'robaina': 1, 'ha': 1, 'the': 1, 'highest': 1, 'salari': 1, 'among': 1, 'florida': 1, 'more': 1, 'than': 1, '<cur><number>': 1}"
reliable,"{'the': 2, 'balancedbudget': 1, 'amend': 1, 'onc': 1, 'came': 1, 'within': 1, 'one': 1, 'vote': 2, 'of': 2, 'pass': 1, 'congress': 1, 'but': 1, 'wa': 1, 'defeat': 1, 'becaus': 1, 'no': 1, 'from': 1, 'a': 1, 'top': 1, 'senat': 1, 'republican': 1, 'and': 2, 'rick': 1, 'santorum': 1, 'say': 1, 'he': 1, 'stood': 1, 'up': 1, 'call': 1, 'for': 1, 'him': 1, 'to': 1, 'resign': 1, 'hi': 1, 'chairmanship': 1}"
fake,"{'say': 1, 'rais': 1, 'the': 1, 'state': 1, 'incom': 1, 'tax': 4, 'rate': 1, 'on': 1, 'millionair': 1, 'to': 1, 'offset': 1, 'properti': 1, 'for': 1, 'other': 1, 'resid': 1, 'is': 1, 'not': 1, 'a': 2, 'increas': 1, 'it': 1, 'shift': 1}"
reliable,"{'sinc': 1, '<number>': 4, 'texa': 1, 'ha': 1, 'reduc': 1, 'harm': 1, 'pollut': 1, 'in': 1, 'the': 2, 'air': 1, 'like': 1, 'nitrogen': 1, 'oxid': 1, 'by': 2, 'percent': 2, 'and': 1, 'ozon': 1, 'percenta': 1, 'reduct': 1, 'that': 1, 'is': 1, 'greater': 1, 'than': 1, 'nation': 1, 'averag': 1}"
fake,"{'california': 1, 'capitol': 1, 'build': 1, 'is': 1, 'second': 1, 'onli': 1, 'to': 1, 'disneyland': 1, 'among': 1, 'visitor': 1, 'site': 1, 'in': 1, 'the': 1, 'state': 1}"
reliable,"{'under': 1, 'current': 1, 'condit': 1, 'by': 1, '<number>': 1, 'the': 3, 'interest': 1, 'payment': 1, 'on': 1, 'nation': 1, 'debt': 1, 'will': 1, 'be': 1, '<cur><number>': 2, 'billion': 2, 'larger': 1, 'than': 1, 'project': 1, 'defens': 1, 'spend': 1, 'of': 1}"
fake,"{'sayspresid': 1, 'obama': 1, 'hijack': 1, 'the': 1, 'farm': 1, 'bill': 2, 'and': 1, 'turn': 1, 'it': 1, 'into': 1, 'a': 1, 'food': 1, 'stamp': 1}"
reliable,"{'wealthi': 1, 'taxpay': 1, 'not': 1, 'middleincom': 1, 'earner': 1, 'get': 1, 'most': 1, 'of': 1, 'the': 2, 'deduct': 1, 'in': 1, 'tax': 1, 'code': 1}"
reliable,"{'saysther': 1, 'are': 1, 'actual': 1, 'more': 1, 'peopl': 1, 'in': 1, 'poverti': 2, 'now': 1, 'than': 1, 'there': 1, 'were': 1, 'when': 1, 'we': 1, 'start': 1, 'the': 1, 'war': 1, 'on': 1}"
fake,"{'georgia': 1, 'ha': 1, 'elect': 1, 'more': 1, 'africanamerican': 1, 'leader': 1, 'than': 1, 'ani': 1, 'other': 1, 'state': 1, 'in': 1, 'the': 1, 'countri': 1}"
fake,"{'there': 1, 'are': 1, 'over': 1, '<number>': 1, 'document': 1, 'case': 1, 'where': 1, 'obama': 1, 'ha': 1, 'lie': 1}"
fake,"{'say': 1, 'barack': 1, 'obama': 1, 'never': 1, 'work': 1, 'in': 1, 'the': 1, 'privat': 1, 'sector': 1, 'befor': 1, 'he': 1, 'wa': 1, 'elect': 1, 'presid': 1}"
fake,"{'ive': 1, 'also': 1, 'offer': 1, 'a': 2, 'plan': 1, 'that': 2, 'can': 1, 'help': 1, 'fix': 1, 'social': 1, 'secur': 1, 'support': 1, 'by': 1, 'robert': 1, 'reich': 1, 'secretari': 1, 'of': 1, 'labor': 1, 'previous': 1, 'in': 1, 'previou': 1, 'administr': 1}"
fake,"{'say': 1, 'wisconsin': 1, 'gov': 1, 'scott': 1, 'walker': 1, 'action': 1, 'are': 1, 'directli': 1, 'respons': 1, 'for': 1, 'kill': 1, 'at': 1, 'least': 1, '<number>': 1, 'job': 1}"
reliable,"{'gwinnett': 1, 'medic': 1, 'center': 1, 'is': 1, 'oper': 1, 'in': 2, 'the': 1, 'neg': 1, 'part': 1, 'becaus': 1, 'of': 1, 'illeg': 1, 'immigr': 1}"
reliable,"{'<number>': 1, 'percent': 1, 'of': 1, 'americansc': 1, 'pay': 1, 'for': 1, 'an': 1, 'unexpect': 1, '<cur><number>': 1, 'expens': 1, 'through': 1, 'save': 1, 'or': 2, 'credit': 1, 'card': 1, 'without': 1, 'sell': 1, 'someth': 1, 'borrow': 1, 'money': 1}"
reliable,"{'hous': 1, 'appropri': 1, 'chair': 1, 'david': 1, 'obey': 1, 'partial': 1, 'earmark': 2, 'ban': 1, 'wouldnt': 1, 'appli': 1, 'to': 1, '<number>': 1, 'of': 1}"
reliable,"{'ron': 1, 'johnson': 1, 'said': 1, 'specif': 1, 'that': 1, 'he': 1, 'hope': 1, 'the': 2, 'first': 1, 'step': 1, 'occur': 1, 'to': 1, 'privat': 1, 'veteran': 1, 'administr': 1}"
reliable,"{'under': 1, 'ted': 1, 'cruz': 1, 'tax': 1, 'plan': 1, 'busi': 1, 'will': 2, 'now': 1, 'have': 2, 'to': 2, 'pay': 3, '<number>': 2, 'percent': 2, 'on': 2, 'the': 2, 'money': 2, 'they': 3, 'make': 1, 'also': 1, 'their': 1, 'employe': 1}"
fake,"{'the': 4, 'most': 1, 'recent': 1, 'survey': 1, 'of': 2, 'climat': 2, 'scientist': 1, 'said': 1, 'about': 1, '<number>': 2, 'percent': 2, 'dont': 1, 'agre': 1, 'with': 1, 'idea': 1, 'that': 1, 'chang': 1, 'in': 1, 'is': 1, 'caus': 1, 'by': 1, 'co0': 1}"
fake,"{'while': 1, 'other': 1, 'place': 1, 'their': 2, 'hand': 1, 'over': 1, 'heart': 1, 'obama': 1, 'turn': 1, 'hi': 1, 'back': 1, 'to': 1, 'the': 1, 'flag': 1, 'and': 1, 'slouch': 1}"
fake,"{'steve': 1, 'poizner': 1, 'increas': 1, 'hi': 1, 'depart': 1, 'budget': 1, 'nearli': 1, '<number>': 1, 'percent': 1}"
reliable,"{'as': 1, 'a': 1, 'senat': 1, 'barack': 1, 'obama': 1, 'support': 1, 'an': 1, 'amend': 1, 'that': 1, 'basic': 1, 'gut': 1, 'the': 1, 'legal': 1, 'temporari': 1, 'worker': 1, 'program': 1}"
reliable,"{'ken': 1, 'buck': 1, 'want': 1, 'to': 1, 'outlaw': 1, 'abort': 1, 'even': 1, 'in': 1, 'case': 1, 'of': 1, 'rape': 1, 'or': 1, 'incest': 1}"
fake,"{'while': 1, 'mayor': 1, 'kenney': 1, 'person': 1, 'doesnt': 1, 'support': 1, 'drop': 1, 'he': 1, 'cant': 1, 'fault': 1, 'highli': 1, 'qualifi': 1, 'citi': 1, 'employe': 1, 'for': 1, 'appropri': 1, 'util': 1, 'a': 1, 'benefit': 1, 'that': 1, 'avail': 1, 'to': 1, 'them': 1}"
reliable,"{'republican': 1, 'control': 1, 'the': 6, 'us': 1, 'senat': 3, 'with': 1, '<number>': 2, 'seat': 1, 'but': 1, 'those': 1, 'were': 1, 'elect': 2, 'by': 1, 'onli': 1, 'twothird': 1, 'number': 1, 'of': 2, 'voter': 1, 'who': 1, 'democrat': 1, 'in': 1, 'major': 1, 'parti': 1, 'repres': 1, 'a': 1, 'minor': 1, 'peopl': 1}"
reliable,"{'forti': 1, 'percent': 1, 'of': 1, 'union': 1, 'member': 1, 'vote': 1, 'republican': 1, 'in': 1, '<number>': 1}"
reliable,"{'say': 1, 'scott': 1, 'walker': 1, 'enact': 1, 'the': 1, 'biggest': 1, 'cut': 1, 'to': 1, 'educ': 1, 'in': 1, 'our': 1, 'state': 1, 'histori': 1}"
reliable,"{'under': 1, 'the': 2, 'presid': 1, 'plan': 1, 'he': 1, 'cut': 1, 'medicar': 2, 'by': 1, '<cur><number>': 1, 'billion': 1, 'take': 1, 'that': 1, 'money': 1, 'out': 1, 'of': 1, 'trust': 1, 'fund': 1, 'and': 1, 'use': 1, 'it': 1, 'to': 1, 'pay': 1, 'for': 1, 'obamacar': 1}"
fake,"{'say': 1, 'gov': 1, 'rick': 1, 'scott': 1, 'cut': 1, 'nearli': 1, '<cur><number>': 1, 'million': 1, 'from': 1, 'mosquito': 2, 'control': 1, 'and': 1, 'close': 1, 'down': 1, 'the': 1, 'state': 1, 'research': 1, 'lab': 1, 'a': 1, 'few': 1, 'year': 1, 'ago': 1}"
fake,"{'say': 1, 'wisconsin': 1, 'gov': 1, 'scott': 1, 'walker': 1, 'is': 1, 'deni': 1, 'democrat': 1, 'the': 1, 'right': 1, 'to': 1, 'vote': 1}"
reliable,"{'lean': 1, 'fine': 1, 'textur': 1, 'beef': 1, 'is': 2, 'the': 1, 'proper': 1, 'name': 1, 'not': 1, 'pink': 1, 'slime': 1, 'and': 1, 'it': 1, 'a': 1, 'safe': 1, 'wide': 1, 'use': 1, 'product': 1}"
fake,"{'when': 1, 'georg': 1, 'bush': 1, 'took': 1, 'offic': 1, 'presid': 1, 'clinton': 1, 'a': 1, 'democrat': 2, 'and': 1, 'the': 2, 'congress': 1, 'at': 1, 'time': 1, 'had': 1, 'left': 1, 'an': 1, 'annual': 1, 'budget': 1, 'that': 1, 'wa': 1, 'in': 1, 'surplu': 1}"
fake,"{'say': 1, 'the': 1, 'new': 1, 'health': 1, 'care': 1, 'law': 1, 'deliv': 1, 'a': 1, '<cur><number>': 1, 'billion': 1, 'tax': 1, 'increas': 1, 'on': 1, 'famili': 1, 'with': 1, 'special': 1, 'need': 1}"
reliable,"{'say': 1, 'everi': 1, 'year': 1, 'air': 1, 'pollut': 1, 'protect': 1, 'are': 1, 'delay': 1, 'anoth': 1, '<number>': 1, 'peopl': 1, 'will': 1, 'die': 1, 'prematur': 1}"
reliable,"{'the': 2, 'tampa': 1, 'bay': 1, 'ray': 1, 'price': 1, 'have': 1, 'been': 1, 'judg': 1, 'most': 1, 'afford': 1, 'in': 1, 'all': 1, 'of': 1, 'profession': 1, 'sport': 1}"
reliable,"{'the': 1, 'properti': 1, 'apprais': 1, 'budget': 1, 'is': 1, '<cur><number>': 1, 'million': 1, 'less': 1, 'today': 1, 'than': 1, 'when': 1, 'i': 1, 'took': 1, 'offic': 1, '<number>': 1, 'year': 1, 'ago': 1}"
reliable,"{'let': 1, 'pay': 3, 'attent': 1, 'to': 2, 'kid': 2, 'who': 1, 'are': 4, 'not': 1, 'go': 1, 'colleg': 1, 'which': 1, 'end': 1, 'up': 1, 'be': 1, 'about': 1, '<number>': 1, 'percent': 1, 'of': 2, 'the': 2, 'and': 1, 'get': 3, 'them': 1, 'train': 1, 'for': 1, 'job': 3, 'that': 3, 'there': 3, 'becaus': 1, 'you': 1, 'know': 1, 'auto': 1, 'mechan': 2, '<cur><number>': 2, 'they': 1, 'cant': 2, 'fill': 2, 'airlin': 1, 'a': 1, 'lot': 1, 'money': 1, 'remark': 1, 'at': 1, 'afscm': 1, 'forum': 1, '<number><number><number>': 1}"
fake,"{'i': 1, 'am': 1, 'everi': 1, 'year': 1, 'the': 2, 'no0': 1, 'pick': 1, 'of': 2, 'all': 1, 'law': 1, 'enforc': 1, 'agenc': 1, 'within': 1, 'texa': 1}"
reliable,"{'the': 4, 'us': 1, 'state': 1, 'depart': 1, 'ha': 1, 'order': 1, '<number>': 1, 'hazmat': 1, 'suit': 1, 'for': 1, 'ebola': 1, 'prompt': 1, 'concern': 1, 'that': 1, 'feder': 1, 'govern': 1, 'is': 1, 'anticip': 1, 'rapid': 1, 'spread': 1, 'of': 1, 'viru': 1}"
reliable,"{'republican': 1, 'fought': 1, 'to': 1, 'protect': 1, 'tax': 1, 'loophol': 1, 'for': 1, 'corpor': 1, 'that': 1, 'send': 1, 'our': 1, 'job': 1, 'oversea': 1}"
fake,"{'we': 1, 'were': 1, 'told': 1, 'there': 1, 'would': 1, 'never': 1, 'be': 1, 'a': 1, 'case': 1, 'of': 1, 'ebola': 1, 'in': 1, 'the': 1, 'unit': 1, 'state': 1}"
fake,"{'say': 1, 'her': 1, 'congression': 1, 'district': 1, 'ha': 1, '<number>': 2, 'medicaldevic': 1, 'industri': 1, 'job': 1, 'and': 1, 'will': 1, 'be': 1, 'lost': 1, 'becaus': 1, 'of': 1, 'healthcar': 1, 'law': 1, 'tax': 1}"
reliable,"{'two': 1, 'day': 1, 'of': 1, 'interest': 1, 'we': 1, 'pay': 1, 'to': 2, 'china': 1, 'is': 1, 'enough': 1, 'buy': 1, 'one': 1, 'joint': 1, 'strike': 1, 'fighter': 1, 'jet': 1}"
reliable,"{'say': 1, 'the': 1, 'averag': 1, 'ohio': 1, 'student': 1, 'graduat': 1, 'from': 1, 'a': 1, 'fouryear': 1, 'colleg': 1, 'or': 1, 'univers': 1, 'with': 1, 'nearli': 1, '<cur><number>': 1, 'in': 1, 'tuition': 1, 'debt': 1}"
fake,"{'a': 1, 'new': 1, 'feder': 1, 'program': 1, 'provid': 1, 'subsid': 1, 'obama': 1, 'phone': 2, 'with': 1, '<number>': 1, 'free': 1, 'minut': 1, 'of': 1, 'cell': 1, 'servic': 1, 'everi': 1, 'month': 1}"
fake,"{'our': 1, 'larger': 1, 'domest': 1, 'threat': 1, 'is': 1, 'from': 1, 'racial': 1, 'supremacist': 1, 'group': 1}"
reliable,"{'the': 2, 'us': 2, 'had': 1, 'opportun': 1, 'with': 1, 'israel': 1, 'come': 1, 'and': 2, 'talk': 1, 'to': 1, 'about': 1, 'improv': 1, 'our': 1, 'secur': 1, 'screen': 1, 'procedur': 1, 'we': 1, 'turn': 1, 'them': 1, 'down': 1}"
reliable,"{'if': 1, 'your': 1, 'a': 1, 'terrorist': 1, 'you': 2, 'cant': 1, 'fli': 1, 'but': 1, 'an': 1, 'assault': 1, 'weapon': 1, 'can': 1, 'buy': 1}"
reliable,"{'not': 1, 'one': 1, 'penni': 1, 'of': 1, 'california': 1, 'prop': 1, '<number>': 1, 'bag': 1, 'ban': 1, 'tax': 1, 'goe': 1, 'to': 1, 'the': 1, 'environ': 1}"
reliable,"{'in': 3, 'campaign': 1, 'the': 1, 'past': 1, 'with': 1, 'sen': 1, 'mccain': 1, 'and': 2, 'presid': 1, 'georg': 1, 'w': 1, 'bush': 1, 'other': 1, 'they': 1, 'have': 1, 'tend': 1, 'to': 1, 'releas': 1, 'tax': 1, 'record': 1, 'april': 1}"
reliable,"{'weve': 1, 'got': 1, 'to': 1, 'find': 1, '<number>': 2, 'billion': 1, 'gallon': 1, 'of': 1, 'water': 1, 'per': 1, 'day': 1, 'between': 1, 'now': 1, 'and': 1}"
fake,"{'say': 1, 'in': 4, '<number>': 1, 'obama': 1, 'won': 1, 'everi': 2, 'state': 2, 'that': 2, 'did': 2, 'not': 1, 'requir': 2, 'a': 2, 'photo': 2, 'id': 2, 'and': 1, 'lost': 1, 'order': 1, 'to': 1, 'vote': 1}"
fake,"{'on': 1, 'support': 1, 'for': 1, 'the': 1, 'exportimport': 1, 'bank': 1}"
fake,"{'say': 1, 'he': 1, 'didnt': 1, 'have': 1, 'an': 1, 'involv': 1, 'withnutrit': 1, 'supplement': 1, 'compani': 1, 'mannatech': 1}"
reliable,"{'the': 2, 'stimulu': 1, 'program': 1, 'cut': 1, 'tax': 1, 'for': 1, '<number>': 1, 'percent': 1, 'of': 1, 'american': 1, 'peopl': 1}"
fake,"{'gov': 1, 'bill': 1, 'haslam': 1, 'is': 2, 'make': 1, 'our': 1, 'econom': 1, 'develop': 1, 'depart': 1, 'sharia': 2, 'compliant': 1, 'by': 1, 'hire': 1, 'a': 1, 'woman': 1, 'who': 1, 'special': 1, 'in': 1, 'complianc': 1, 'that': 1, 'what': 1, 'her': 1, 'job': 1}"
reliable,"{'new': 1, 'mexico': 1, 'move': 1, 'up': 1, 'to': 1, 'sixth': 1, 'in': 2, 'the': 1, 'nation': 1, 'job': 1, 'growth': 1}"
fake,"{'we': 1, 'work': 1, 'togeth': 1, 'to': 1, 'enact': 1, 'the': 1, 'largest': 1, 'tax': 1, 'cut': 1, 'in': 1, 'florida': 1, 'histori': 1}"
fake,"{'bill': 1, 'nelson': 1, 'actual': 1, 'vote': 1, 'in': 1, 'favor': 1, 'of': 1, 'higher': 1, 'tax': 1, '<number>': 1, 'time': 1}"
reliable,"{'say': 1, 'he': 1, 'oppos': 1, '<cur><number>': 1, 'billion': 1, 'cut': 1, 'to': 1, 'medicar': 1}"
reliable,"{'we': 1, 'spend': 2, 'less': 1, 'than': 1, '<number>': 1, 'percent': 1, 'more': 1, 'everi': 1, 'year': 1, 'that': 1, 'is': 1, 'the': 1, 'lowest': 1, 'increas': 1, 'in': 1, 'sinc': 1, 'they': 1, 'have': 1, 'been': 1, 'keep': 1, 'number': 1}"
fake,"{'presid': 1, 'barack': 1, 'obama': 1, 'said': 1, 'at': 1, 'the': 4, 'begin': 1, 'of': 1, 'negoti': 1, 'that': 1, 'basic': 1, 'approach': 1, 'wa': 1, 'to': 1, 'dismantl': 2, 'iran': 1, 'nuclear': 1, 'program': 1, 'in': 1, 'exchang': 1, 'for': 1, 'sanction': 1}"
fake,"{'the': 2, 'unit': 1, 'state': 1, 'ha': 1, 'never': 1, 'stood': 1, 'by': 1, 'and': 1, 'seen': 1, 'innoc': 1, 'peopl': 1, 'slaughter': 1, 'to': 1, 'extent': 1, 'that': 1, 'happen': 1, 'in': 1, 'syria': 1}"
reliable,"{'us': 1, 'taxpay': 1, 'paid': 1, '<cur><number>': 1, 'per': 1, 'job': 1, 'creat': 1, 'by': 1, 'the': 1, 'stimulu': 1, 'bill': 1}"
reliable,"{'david': 1, 'perdu': 1, 'did': 2, 'not': 1, 'support': 1, 'the': 1, '<number>': 1, 'farm': 1, 'bill': 1, 'that': 1, 'us': 1, 'sen': 1, 'isakson': 1, 'and': 1, 'chambliss': 1}"
reliable,"{'south': 1, 'carolina': 1, 'ha': 1, 'the': 2, 'fastestgrow': 1, 'economi': 1, 'in': 1, 'southeast': 1}"
reliable,"{'by': 1, 'the': 3, 'end': 1, 'of': 2, 'governor': 2, 'rick': 1, 'perri': 1, 'term': 1, 'he': 2, 'will': 1, 'have': 1, 'drain': 1, 'texa': 1, 'taxpay': 1, 'more': 1, 'than': 1, '<cur><number>': 1, 'to': 1, 'pay': 1, 'for': 1, 'rental': 1, 'mansion': 2, 'ha': 1, 'been': 1, 'live': 1, 'in': 1, 'while': 1, 'histor': 1, 'is': 1, 'repair': 1}"
fake,"{'obama': 1, 'suggest': 1, 'bomb': 1, 'pakistan': 1}"
reliable,"{'say': 1, 'presid': 1, 'obama': 1, 'help': 1, 'more': 1, 'than': 1, 'half': 1, 'a': 1, 'million': 1, 'veteran': 1, 'and': 1, 'militari': 1, 'famili': 1, 'member': 1, 'go': 1, 'to': 1, 'colleg': 1, 'through': 1, 'the': 1, 'post<number><number>': 1, 'gi': 1, 'bill': 1}"
reliable,"{'in': 3, 'our': 1, 'propos': 1, 'we': 1, 'would': 1, 'have': 1, 'expand': 1, 'school': 2, 'aid': 2, 'across': 1, 'the': 2, 'board': 1, 'governor': 1, 'christi': 1, 'slash': 1, 'thi': 1, 'budget': 1, 'prefer': 1, 'instead': 1, 'to': 1, 'extend': 1, 'a': 1, 'tax': 1, 'break': 1, 'for': 1, 'millionair': 1, 'over': 1, 'fund': 1, 'classroom': 1}"
reliable,"{'from': 2, '<number>': 4, 'to': 2, 'the': 2, 'page': 2, 'in': 1, 'conform': 1, 'bill': 1, 'have': 1, 'gone': 1}"
fake,"{'public': 1, 'employe': 1, 'receiv': 1, 'someth': 1, 'like': 1, '<number>': 1, 'percent': 1, 'of': 1, 'the': 1, 'paycheck': 1, 'that': 1, 'are': 1, 'issu': 1, 'in': 1, 'rhode': 1, 'island': 1}"
fake,"{'the': 2, 'iran': 2, 'deal': 1, 'will': 1, 'facilit': 1, 'and': 1, 'acceler': 1, 'nation': 1, 'of': 1, 'acquir': 1, 'nuclear': 1, 'weapon': 1}"
fake,"{'as': 1, 'a': 1, 'member': 1, 'of': 1, 'congress': 1, 'chri': 1, 'murphi': 1, 'wa': 1, 'rake': 1, 'in': 2, '<cur><number>': 1, 'million': 1, 'salari': 1}"
reliable,"{'he': 2, 'admit': 1, 'still': 1, 'doesnt': 1, 'know': 1, 'how': 1, 'to': 1, 'use': 1, 'a': 1, 'comput': 1, 'cant': 1, 'send': 1, 'an': 1, 'email': 1}"
reliable,"{'if': 1, 'today': 1, 'economi': 1, 'wa': 1, 'rebound': 1, 'at': 1, 'the': 3, 'rate': 1, 'of': 2, 'reagan': 1, 'recoveri': 1, 'it': 1, 'would': 1, 'have': 1, 'creat': 1, 'equival': 1, '<number>': 1, 'million': 1, 'new': 1, 'job': 1, 'and': 1, 'rais': 1, 'feder': 1, 'revenu': 1, 'by': 1, '<cur><number>': 1, 'billion': 1, 'a': 1, 'year': 1}"
fake,"{'social': 1, 'secur': 1, 'doesnt': 1, 'contribut': 1, 'a': 1, 'penni': 1, 'to': 1, 'the': 1, 'deficit': 1}"
fake,"{'say': 1, 'state': 1, 'sen': 1, 'greg': 1, 'ever': 1, 'nanci': 1, 'detert': 1, 'and': 1, 'charl': 1, 'dean': 1, 'got': 1, 'a': 1, 'fail': 1, 'grade': 1, 'from': 1, 'conserv': 1}"
reliable,"{'when': 1, 'i': 2, 'wa': 1, 'mayor': 1, 'of': 1, 'new': 1, 'york': 1, 'citi': 1, 'encourag': 1, 'adopt': 2, 'went': 2, 'up': 1, '<number><number>': 1, 'percent': 2, 'abort': 1, 'down': 1, '<number>': 1}"
reliable,"{'the': 1, 'averag': 1, 'faculti': 1, 'member': 1, 'at': 1, 'uwmadison': 1, 'bring': 1, 'in': 2, 'close': 1, 'to': 1, 'a': 2, 'quarter': 1, 'million': 1, 'dollar': 1, 'year': 1, 'grant': 1, 'money': 1}"
fake,"{'the': 3, 'dnc': 1, 'hack': 1, 'show': 1, 'you': 1, 'that': 1, 'clinton': 2, 'campaign': 2, 'wa': 1, 'work': 1, 'to': 1, 'schedul': 1, 'primari': 1, 'debat': 1, 'against': 2, 'berni': 1, 'sander': 1, 'and': 1, 'is': 1, 'continu': 1, 'thi': 1, 'ploy': 1, 'donald': 1, 'trump': 1}"
fake,"{'bill': 1, 'mccollum': 1, 'serv': 1, 'as': 1, 'a': 1, 'lobbyist': 1, 'whose': 1, 'client': 1, 'enabl': 1, 'mortgag': 1, 'for': 1, 'illeg': 1, 'immigr': 1}"
reliable,"{'we': 1, 'have': 1, 'onli': 1, 'one': 1, 'person': 1, 'on': 1, 'the': 1, 'tva': 1, 'board': 2, 'to': 1, 'my': 1, 'knowledg': 1, 'who': 1, 'even': 1, 'ha': 1, 'ani': 1, 'corpor': 1, 'experi': 1}"
reliable,"{'john': 1, 'oxendin': 1, 'is': 1, 'under': 1, 'a': 1, 'state': 1, 'ethic': 1, 'investig': 1, 'becaus': 1, 'he': 1, 'illeg': 1, 'funnel': 1, 'more': 1, 'than': 1, '<cur><number>': 1, 'to': 1, 'hi': 1, 'campaign': 1, 'from': 1, 'shadi': 1, 'insur': 1, 'polit': 1, 'action': 1, 'committe': 1, 'in': 1, 'alabama': 1}"
fake,"{'say': 1, 'gov': 1, 'scott': 1, 'walker': 1, 'is': 1, 'cook': 1, 'the': 1, 'book': 1, 'by': 1, 'releas': 1, 'number': 1, 'he': 1, 'just': 1, 'dream': 1, 'up': 1, 'that': 1, 'show': 1, 'wisconsin': 1, 'gain': 1, 'job': 1, 'in': 1, '<number>': 1}"
reliable,"{'say': 1, 'minnesota': 1, 'ha': 1, 'more': 1, 'fortun': 1, '<number>': 1, 'compani': 1, 'than': 1, 'oregon': 1, 'and': 1, 'one': 1, 'of': 1, 'the': 1, 'most': 1, 'obviou': 1, 'differ': 1, 'is': 1, 'theyv': 1, 'invest': 1, 'in': 1, 'their': 1, 'school': 1}"
reliable,"{'repeal': 1, 'of': 1, 'obamacar': 1, 'would': 1, 'take': 1, 'away': 1, 'health': 1, 'care': 1, 'for': 1, '<number>': 3, 'million': 1, 'american': 1, 'who': 1, 'have': 1, 'receiv': 1, 'coverag': 1, 'sinc': 1, 'oct': 1}"
